section,group,collection_site,collection_date,gall_id,gall_diameter_mm,plant_height_to_gall_base_cm,bird_predation?,early_wasp?,late_wasp?,beetle?,intact_gallfly_larva?,gall_wall_thickness_mm,chamber_diameter_mm,stem_width_2cm_below_gall,gall_contents,plant_height_with_gall_cm,plant_height_without_gall_cm
,,unknown,2012_2013winter,,,,,,,,,,,,,112.0,96.0
,,unknown,2012_2013winter,,,,,,,,,,,,,124.0,101.0
,,unknown,2012_2013winter,,,,,,,,,,,,,115.0,103.0
,,unknown,2012_2013winter,,,,,,,,,,,,,126.0,135.0
,,unknown,2012_2013winter,,,,,,,,,,,,,130.0,113.0
,,unknown,2012_2013winter,,,,,,,,,,,,,126.0,94.7
,,unknown,2012_2013winter,,,,,,,,,,,,,103.0,98.7
,,unknown,2012_2013winter,,,,,,,,,,,,,118.0,98.3
,,unknown,2012_2013winter,,,,,,,,,,,,,108.0,103.5
,,unknown,2012_2013winter,,,,,,,,,,,,,106.0,75.9
,,unknown,2012_2013winter,,,,,,,,,,,,,114.0,98.6
,,unknown,2012_2013winter,,,,,,,,,,,,,122.0,97.0
,,unknown,2012_2013winter,,,,,,,,,,,,,107.0,69.5
,,unknown,2012_2013winter,,,,,,,,,,,,,117.0,119.0
,,unknown,2012_2013winter,,,,,,,,,,,,,103.0,95.0
,,unknown,2012_2013winter,,,,,,,,,,,,,126.0,99.0
,,unknown,2012_2013winter,,,,,,,,,,,,,126.0,76.0
,,unknown,2012_2013winter,,,,,,,,,,,,,118.0,70.0
,,unknown,2012_2013winter,,,,,,,,,,,,,112.0,110.2
,,unknown,2012_2013winter,,,,,,,,,,,,,108.0,100.5
,,unknown,2012_2013winter,,,,,,,,,,,,,124.0,96.6
,,unknown,2012_2013winter,,,,,,,,,,,,,111.0,96.2
,,unknown,2012_2013winter,,,,,,,,,,,,,114.0,80.3
,,unknown,2012_2013winter,,,,,,,,,,,,,130.0,92.8
,,unknown,2012_2013winter,,,,,,,,,,,,,127.0,72.5
,,unknown,2012_2013winter,,,,,,,,,,,,,121.0,83.0
,,unknown,2012_2013winter,,,,,,,,,,,,,119.0,103.5
,,unknown,2012_2013winter,,,,,,,,,,,,,122.0,119.0
